PROVINCE,DISTRICT,TEHSIL,TEHSILCODE,UCNAME,UC_UR,UCNumber,UCCODE,LATITUDE,LONGITUDE,NUMBEROFVILLAGES,VILLAGENUMBER,VILLAGECODE,VILLAGENAME
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,10,13111510,JABBRI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,9,1311159,HAZERRA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,8,1311158,HARI DI BAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,7,1311157,GARLANIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,6,1311156,DUMKATCH
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,5,1311155,CHATIIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,4,1311154,BEESALA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,3,1311153,BANDI DHONDAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,2,1311152,BANDA PIR KHAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,1,1311151,AKHORA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,26,13111626,UPPER BIRAN GALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,25,13111625,TARHAT
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,24,13111624,SERI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,23,13111623,SAHOOTAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,22,13111622,RIYALA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,21,13111621,PEHLWAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,20,13111620,NANEHALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,19,13111619,MARI SHAREEF
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,18,13111618,MANWAALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,17,13111617,LOWER BIRAN GALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,16,13111616,KHETAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,15,13111615,KERI BIRAN GALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,14,13111614,JOGIMAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,13,13111613,JHAFAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,12,13111612,HUNDYALA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,11,13111611,HERAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,10,13111610,GEH
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,9,1311169,DHERI HOTAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,8,1311168,DHAKA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,7,1311167,DAKH DOGA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,6,1311166,BUNJ
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,5,1311165,BRONGIALA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,4,1311164,BIRAN GALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,3,1311163,BANDIYALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,2,1311162,ANDER SERI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,1,1311161,AKHREELA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,20,13111720,TORI BATTANGI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,19,13111719,SEHRA DOGA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,18,13111718,SARHAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,17,13111717,SAMBLI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,16,13111716,RANKOT
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,15,13111715,PALL BOI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,14,13111714,MOHRI MAIRA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,13,13111713,MAKREELA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,12,13111712,GALLI MIRAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,11,13111711,DHANNI BOI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,10,13111710,DEEDAL
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,9,1311179,CHARIYALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,8,1311178,CHAK BOI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,7,1311177,BOI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,6,1311176,BHOGRAN BOI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,5,1311175,BARBEEN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,4,1311174,BANDI SAMAD
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,3,1311173,BANDI PAHAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,2,1311172,BANDI HAMZA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.31268802,73.4429347,20,1,1311171,BAGOTAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,28,13111828,TOTANI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,27,13111827,THANA KHURD
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,26,13111826,THANA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,25,13111825,SHADIAL
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,24,13111824,SAR BANGALA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,23,13111823,NAKKA BHURAJ
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,22,13111822,MEHAL
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,21,13111821,KONSIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,20,13111820,KHANI THAT HIARA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,19,13111819,KASSAKI KHURD
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,18,13111818,KASSAKI KALAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,17,13111817,JATAL
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,16,13111816,GORIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,15,13111815,GHORI CHAMHAD
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,14,13111814,FATEH BANDI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,13,13111813,DARUBBAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,12,13111812,DANNA BAYIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,11,13111811,DANNA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,10,13111810,CHATTA MOHRI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,9,1311189,CHAMHAD
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,8,1311188,CHAMAK MAIRA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,7,1311187,BISALA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,6,1311186,BHURAJ KHASS
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,5,1311185,BHURAJ
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,4,1311184,BERAM GALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,3,1311183,BENSARI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,2,1311182,BATANGI NO 2
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CHAMHAD,Rural,8,131118,34.1141726,73.084788,28,1,1311181,BAGH DARA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CITY URBAN/ CENTRAL ABBOTTABAD,Urban,10,1311210,34.1464004,73.2161263,6,6,13112106,MUSLIM TOWN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CITY URBAN/ CENTRAL ABBOTTABAD,Urban,10,1311210,34.1464004,73.2161263,6,5,13112105,MAIN BAZAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CITY URBAN/ CENTRAL ABBOTTABAD,Urban,10,1311210,34.1464004,73.2161263,6,4,13112104,KUNJ QADEEM
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CITY URBAN/ CENTRAL ABBOTTABAD,Urban,10,1311210,34.1464004,73.2161263,6,3,13112103,KUNJ JADEED
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CITY URBAN/ CENTRAL ABBOTTABAD,Urban,10,1311210,34.1464004,73.2161263,6,2,13112102,KARIMPURA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,CITY URBAN/ CENTRAL ABBOTTABAD,Urban,10,1311210,34.1464004,73.2161263,6,1,13112101,FAWARA CHOWK
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,DALOLA,Rural,11,1311111,34.35890689,73.39317726,21,21,131111121,TARKOT
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,DALOLA,Rural,11,1311111,34.35890689,73.39317726,21,20,131111120,TALAQ BAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,DALOLA,Rural,11,1311111,34.35890689,73.39317726,21,19,131111119,SIRLA
